length,real_depth,random_depth,real_max_arity,random_max_arity
29,13,11.0,4,3.25
22,6,9.5,5,3.3
28,11,11.35,4,3.6
48,12,15.5,4,3.95
25,8,10.6,5,3.15
22,9,10.1,5,3.2
10,5,5.95,3,2.65
19,5,9.4,6,2.8
12,8,6.7,3,2.6
49,12,15.25,7,3.85
39,15,12.2,6,4.1
46,11,14.7,4,3.7
21,11,9.4,3,2.95
37,13,12.05,4,3.45
29,7,11.15,8,3.4
66,19,19.2,5,3.85
27,9,11.5,4,3.25
41,16,14.75,4,3.55
15,6,8.05,3,2.8
38,10,12.25,8,3.6
15,7,7.45,4,3.1
19,9,9.4,4,2.9
38,10,13.15,6,3.45
13,7,7.15,4,2.75
36,15,13.1,4,3.7
18,9,8.8,4,2.9
15,7,8.4,4,2.95
13,5,7.9,4,2.75
24,8,10.6,4,3.3
16,7,8.55,5,2.9
5,3,3.75,2,2.0
22,6,10.0,6,3.3
9,3,5.75,6,2.5
10,5,5.65,3,2.65
9,4,5.9,6,2.25
15,6,8.3,4,3.05
10,6,6.0,4,2.55
17,7,9.15,5,2.85
19,7,7.95,4,3.35
20,5,9.2,6,3.0
23,8,10.25,7,3.6
23,9,10.0,3,3.05
55,10,17.3,6,3.8
18,4,8.5,11,3.0
11,5,6.45,4,2.55
20,8,9.05,4,3.25
30,11,10.7,4,3.35
9,4,5.6,5,2.6
27,10,11.4,4,3.35
26,8,10.8,6,3.35
15,7,8.05,6,2.7
7,4,4.55,4,2.35
23,9,9.65,5,3.5
25,12,10.15,4,3.25
20,10,8.8,4,3.4
20,9,8.6,6,3.35
20,7,9.65,5,3.0
12,6,6.7,7,2.8
25,10,10.9,6,3.45
7,5,4.9,3,2.1
14,6,7.1,4,2.95
7,4,4.1,3,2.45
26,8,10.9,4,3.55
27,8,10.75,5,3.25
11,7,6.5,3,2.6
74,26,19.3,5,4.35
21,9,9.65,3,3.6
7,3,5.05,4,2.15
34,9,12.55,5,3.45
23,14,10.45,3,3.35
21,9,10.1,3,2.9
26,14,9.7,4,3.7
34,12,13.75,5,3.05
9,4,5.9,4,2.4
65,20,17.25,6,3.85
26,8,10.65,6,3.2
23,5,10.5,7,3.55
23,5,11.05,9,3.35
11,6,6.8,3,2.35
10,4,5.85,3,2.6
4,2,3.1,3,1.9
34,13,12.6,5,3.55
24,12,10.25,5,3.5
35,11,11.7,4,3.8
28,9,10.45,5,3.35
60,12,17.9,6,3.55
25,8,9.8,6,3.35
16,4,7.4,5,3.25
6,2,4.45,5,2.1
22,6,9.55,4,3.2
15,8,8.8,4,2.6
10,5,6.5,4,2.5
12,5,7.55,7,2.5
21,7,9.35,5,3.45
14,5,7.6,4,2.65
5,3,3.5,3,2.1
11,5,6.4,4,2.7
17,7,8.8,4,2.8
10,6,6.2,3,2.65
6,3,4.4,3,2.1
4,2,3.15,3,1.85
15,7,7.9,4,2.75
7,3,5.05,4,2.1
8,6,5.45,3,2.4
7,3,4.65,5,2.25
