length,real_depth,real_avg_depth,real_arity,real_entropy,real_dl,real_ic,real_wic,real_pic,real_lca,random_depth,random_avg_depth,random_arity,random_entropy,random_dl,random_ic,random_wic,random_pic,random_lca
12,6,3.25,4,1.1988493129136213,2.090909090909091,0.36363636363636365,0.5454545454545454,4.575757575757576,0.6666666666666666,7.15,4.191666666666666,2.7,1.1373763492338003,4.104545454545454,2.1454545454545455,2.895454545454545,3.991666666666667,1.5257575757575759
19,6,3.4210526315789473,6,1.166733308360715,2.7777777777777777,0.5555555555555556,0.7777777777777778,7.918128654970761,0.47953216374269003,8.4,4.942105263157895,2.8,1.1495993518351777,6.8,3.2,5.305555555555555,6.034795321637427,1.7807017543859651
26,10,5.269230769230769,5,1.2103066582345008,3.72,1.08,1.76,9.486153846153845,1.7230769230769232,10.95,6.015384615384614,2.95,1.1879518051771867,8.954,4.874,7.535999999999997,7.641076923076923,2.262153846153846
14,6,3.5,3,1.1973401339967784,2.1538461538461537,0.6153846153846154,0.6923076923076923,4.758241758241758,0.6043956043956044,7.35,4.342857142857143,2.9,1.1424506409281063,4.642307692307692,2.273076923076923,3.6346153846153846,4.683516483516483,1.4873626373626374
7,3,2.142857142857143,4,0.9556998911125343,1.6666666666666667,0.16666666666666666,0.16666666666666666,2.9523809523809526,0.09523809523809523,4.8,2.9714285714285715,2.15,0.9938043575950278,2.7,1.0666666666666669,1.1666666666666667,2.123809523809524,0.7547619047619047
17,5,2.764705882352941,7,1.1150659840964299,2.625,0.625,0.75,7.264705882352941,0.20588235294117646,7.7,4.508823529411765,3.35,1.1750049920128478,6.1875,2.8625,4.88125,5.597794117647059,1.5731617647058824
21,7,3.5714285714285716,7,1.2105367626153136,3.6,1.15,1.5,7.871428571428571,0.638095238095238,9.65,5.192857142857143,3.3,1.1758011173390122,7.777500000000001,3.8,5.8100000000000005,6.676190476190477,1.8871428571428575
13,6,3.8461538461538463,3,1.1972375015579317,2.25,0.5,0.8333333333333334,4.641025641025641,1.2564102564102564,7.35,4.303846153846154,2.65,1.1257904241833907,4.554166666666667,2.316666666666667,3.2291666666666656,4.260897435897435,1.5307692307692309
22,7,3.6363636363636362,6,1.1455482658143872,3.7142857142857144,1.6666666666666667,1.9523809523809523,8.03896103896104,0.4588744588744589,9.75,5.547727272727274,3.3,1.1881442719885569,8.026190476190475,3.9904761904761905,6.023809523809525,6.814718614718615,2.1705627705627704
15,7,3.6,4,1.2634794940650305,2.4285714285714284,0.6428571428571429,0.8571428571428571,5.180952380952381,0.8571428571428571,7.65,4.58,2.8,1.1107274700792953,5.503571428571427,2.6214285714285714,3.84642857142857,4.878095238095239,1.6542857142857144
46,8,4.282608695652174,7,1.222702003119808,3.911111111111111,1.1333333333333333,1.8888888888888888,14.817391304347826,0.7256038647342995,14.3,7.577173913043478,3.75,1.2471971179774786,15.645555555555555,9.052222222222222,13.526666666666666,11.895990338164252,2.885797101449276
27,9,4.37037037037037,5,1.2175646029495004,3.923076923076923,1.2692307692307692,2.1153846153846154,9.0997150997151,0.9031339031339032,11.55,6.4870370370370365,3.1,1.18864068758251,9.390384615384617,5.128846153846156,7.553846153846156,7.982051282051283,2.7044159544159543
28,9,4.607142857142857,6,1.2678654362412691,3.5925925925925926,1.2962962962962963,2.0,9.624338624338625,0.8915343915343915,11.75,6.446428571428571,3.6,1.194626907041402,9.87037037037037,5.337037037037037,8.26111111111111,8.28809523809524,2.64021164021164
60,14,6.083333333333333,6,1.3018517428957759,3.7966101694915255,1.2033898305084745,1.8983050847457628,17.94180790960452,1.0745762711864406,18.9,10.486666666666666,3.8,1.2753742467366176,20.65084745762712,11.790677966101695,18.366949152542375,14.510451977401132,5.18909604519774
20,10,5.0,5,1.1673871969099059,2.6315789473684212,0.8421052631578947,1.0,6.610526315789474,1.6473684210526316,8.85,4.9575,3.5,1.1702303939323333,6.889473684210527,3.494736842105264,5.284210526315788,6.4573684210526325,1.7110526315789474
34,11,5.029411764705882,6,1.2693482430138885,3.6666666666666665,1.0303030303030303,1.8181818181818181,11.529411764705882,1.3458110516934045,12.0,6.708823529411765,3.4,1.2254269124750494,11.59090909090909,6.615151515151515,10.868181818181816,9.66042780748663,2.6358288770053475
66,12,7.454545454545454,5,1.3425330775997124,3.9076923076923076,1.4,2.246153846153846,19.0983682983683,1.8508158508158508,16.95,9.562121212121214,3.9,1.2564798240184316,22.565384615384616,13.249230769230767,20.13692307692308,14.940699300699302,4.194965034965035
31,7,3.5806451612903225,7,1.2373421706658339,4.7,1.6,2.6333333333333333,11.350537634408601,0.3849462365591398,12.35,6.774193548387098,3.5,1.2181753523453216,10.418333333333333,5.7383333333333315,8.988333333333335,9.190430107526883,2.7377419354838715
